CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
39.347.413/0001-82;2024-12-01;1;Banco Daycoval S.A;62232889000190;Avenida Paulista,1793;(11) 3138-8871
39.347.413/0001-82;2024-12-01;1;Furtado e Neto Advogados;4158467000115;Rua Ministro Calógeras, 343;(47) 2105-3393
39.347.413/0001-82;2024-12-01;1;Coinvalores CCVM LTDA.;336036000140;Av. Brigadeiro Faria Lima, 1800;(11) 3035-4141
39.347.413/0001-82;2024-12-01;1;MHA Engenharia LTDA;47283189000130;Alameda Araguaia,2104;(11) 99204-9772
39.714.024/0001-48;2024-12-01;1;JJ CHAVES CONTADORES S/S;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
40.011.279/0001-23;2024-06-01;1;n/a;n/a;n/a;n/a
40.102.445/0001-05;2024-12-01;1;n/a;n/a;n/a;n/a
40.225.262/0001-79;2024-12-01;1;JJ CHAVES CONTADORES S/S;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
40.346.049/0001-15;2024-12-01;1;Novaes & Roselli Sociedade de Advogados;05.048.507/0001-39;Av Brigadeiro Faria Lima, 2954 - 6º andar;11 3079 5111
40.346.049/0001-15;2024-12-01;1;Colliers Technical Services Ltda;43.262.770/0001-15;Av. das Nações Unidas, 14.171 - 8º Andar - Conj. 803;11 3323 0000
40.414.001/0001-05;2024-12-01;1;n/a;n/a;n/a;n/a
41.088.534/0001-07;2024-12-01;1;n/a;n/a;n/a;n/a
41.114.606/0001-35;2024-12-01;1;Coinvalores CVVM LTDA;336036000140;Av. Brigadeiro Faria Lima, 1800;(11) 3035-4143
41.114.606/0001-35;2024-12-01;1;Freitas Leite Advogados;61.197.;Rua Elvira Ferraz,250;(11) 3728-8100
41.114.606/0001-35;2024-12-01;1;Banco Daycoval;62232889000190;Av. Paulista, 1793 - 2º andar - Bela Vista - São Paulo - SP.;(11) 3138-0500
